Is Dead,Accession Number,Catalogue Number,Accepted Name,TaxonomicName,Genus,Family,Provenance Code,Legacy Provenance Code,Country ISO,Last Seen On,source_file
ALIVE,2013-1715,K:LCD-2013-1715*1,Tainia latifolia,Tainia latifolia,Tainia,Orchidaceae,,N - Natural Source and Progeny,,10-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2021-1088,K:LCD-2021-1088*2,Kniphofia latifolia,Kniphofia latifolia,Kniphofia,Asphodelaceae,,N - Natural Source and Progeny,South Africa,04-08-2022,TropicalNursery_Simplified.xlsx
ALIVE,1999-1742,K:LCD-1999-1742*1,Epidendrum criniferum,Epidendrum criniferum,Epidendrum,Orchidaceae,,,,07-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,1999-2932,K:LCD-1999-2932*10,Cattleya maxima,Cattleya maxima,Cattleya,Orchidaceae,,,Ecuador,27-10-2023,TropicalNursery_Simplified.xlsx
ALIVE,2021-692,K:LCD-2021-692*1,Adansonia fony var. rubrostipa,Adansonia fony var. rubrostipa,Adansonia,Malvaceae,,N - Natural Source and Progeny,Madagascar,12-01-2023,TropicalNursery_Simplified.xlsx
ALIVE,2001-2751,K:LCD-2001-2751*1,Sarracenia alata,Sarracenia alata,Sarracenia,Sarraceniaceae,,,,04-07-2022,TropicalNursery_Simplified.xlsx
ALIVE,2002-2435,K:LCD-2002-2435*1,Epidendrum paniculatum,Epidendrum paniculatum,Epidendrum,Orchidaceae,,,Mexico,07-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,2004-2795,K:LCD-2004-2795*1,Adromischus triflorus,Adromischus triflorus,Adromischus,Crassulaceae,,N - Natural Source and Progeny,,29-10-2024,TropicalNursery_Simplified.xlsx
ALIVE,2020-1443,K:LCD-2020-1443*1,Xanthorrhoea semiplana,Xanthorrhoea semiplana,Xanthorrhoea,Asphodelaceae,,N - Natural Source and Progeny,Australia,05-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,1983-4895,K:LCD-1983-4895*2,Lobelia vagans,Lobelia vagans,Lobelia,Campanulaceae,,,Mauritius,11-06-2024,TropicalNursery_Simplified.xlsx
ALIVE,1961-50202,K:LCD-1961-50202*1,Cymbidium atropurpureum,Cymbidium atropurpureum,Cymbidium,Orchidaceae,,,,30-10-2024,TropicalNursery_Simplified.xlsx
ALIVE,1983-2693,K:LCD-1983-2693*1,Cymbidium bicolor,Cymbidium bicolor,Cymbidium,Orchidaceae,,N - Natural Source and Progeny,Malaysia,30-10-2024,TropicalNursery_Simplified.xlsx
ALIVE,1981-4757,K:LCD-1981-4757*1,Euphorbia delphinensis,Euphorbia delphinensis,Euphorbia,Euphorbiaceae,,,,09-01-2024,TropicalNursery_Simplified.xlsx
ALIVE,2007-881,K:LCD-2007-881*1,Aloe macroclada,Aloe macroclada,Aloe,Asphodelaceae,,N - Natural Source and Progeny,Madagascar,24-08-2022,TropicalNursery_Simplified.xlsx
ALIVE,1992-907,K:LCD-1992-907*1,Vandopsis gigantea,Vandopsis gigantea,Vandopsis,Orchidaceae,,N - Natural Source and Progeny,Thailand,16-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,2020-1104,K:LCD-2020-1104*1,Dioscorea orangeana,Dioscorea orangeana,Dioscorea,Dioscoreaceae,,N - Natural Source and Progeny,Madagascar,06-11-2023,TropicalNursery_Simplified.xlsx
ALIVE,2020-1056,K:LCD-2020-1056*1,Operculicarya decaryi,Operculicarya decaryi,Operculicarya,Anacardiaceae,,N - Natural Source and Progeny,Madagascar,03-07-2023,TropicalNursery_Simplified.xlsx
