Is Dead,Accession Number,Catalogue Number,Accepted Name,TaxonomicName,Genus,Family,Provenance Code,Legacy Provenance Code,Country ISO,Last Seen On,source_file,Accession Date
ALIVE,1973-13038,K:LCD-1973-13038*1,Agave triangularis,Agave triangularis,Agave,Asparagaceae,,,,22-10-2024,TropicalNursery_Simplified.xlsx,1973
ALIVE,1985-2855,K:LCD-1985-2855*1,Aeschynanthus fulgens,Hoya pseudolanceolata,Hoya,Apocynaceae,,,,07-10-2022,TropicalNursery_Simplified.xlsx,1985
ALIVE,2002-3114,K:LCD-2002-3114*1,Nepenthes bicalcarata,Nepenthes bicalcarata,Nepenthes,Nepenthaceae,,,,02-08-2023,TropicalNursery_Simplified.xlsx,2002
ALIVE,2011-1308,K:LCD-2011-1308*1,,Dionaea muscipula 'Royal Red',Dionaea,Droseraceae,,,,05-07-2022,TropicalNursery_Simplified.xlsx,2011
ALIVE,1995-226,K:LCD-1995-226*3,Aglaonema modestum,Aglaonema modestum,Aglaonema,Araceae,,,,07-03-2024,TropicalNursery_Simplified.xlsx,1995
ALIVE,1981-900,K:LCD-1981-900*2,Aloe peckii,Aloe peckii,Aloe,Asphodelaceae,,N - Natural Source and Progeny,Somalia,05-01-2022,TropicalNursery_Simplified.xlsx,1981
ALIVE,1998-272,K:LCD-1998-272*1,Euphorbia millotii,Euphorbia millotii,Euphorbia,Euphorbiaceae,,,,06-12-2023,TropicalNursery_Simplified.xlsx,1998
ALIVE,2012-284,K:LCD-2012-284*1,Stapelia engleriana,Tromotriche engleriana,Tromotriche,Apocynaceae,,,,24-02-2024,TropicalNursery_Simplified.xlsx,2012
ALIVE,1958-55005,K:LCD-1958-55005*1,Miltonia moreliana,Miltonia spectabilis var. moreliana,Miltonia,Orchidaceae,,N - Natural Source and Progeny,Brazil,16-01-2025,TropicalNursery_Simplified.xlsx,1958
ALIVE,1980-1190,K:LCD-1980-1190*1,Paliavana,Paliavana,Paliavana,Gesneriaceae,,,,27-05-2022,TropicalNursery_Simplified.xlsx,1980
ALIVE,1914-12101,K:LCD-1914-12101*1,Agave angustifolia,Agave angustifolia,Agave,Asparagaceae,,,,01-11-2024,TropicalNursery_Simplified.xlsx,1914
ALIVE,1975-409,K:LCD-1975-409*1,Papilionanthe vandarum,Papilionanthe vandarum,Papilionanthe,Orchidaceae,,,Burma,15-05-2024,TropicalNursery_Simplified.xlsx,1975
ALIVE,2014-2339,K:LCD-2014-2339*1,,Campanula pilosa 'Superba',Campanula,Campanulaceae,,,,16-10-2015,TropicalNursery_Simplified.xlsx,2014
ALIVE,2001-3906,K:LCD-2001-3906*1,Stanhopea oculata,Stanhopea oculata,Stanhopea,Orchidaceae,,,,15-07-2024,TropicalNursery_Simplified.xlsx,2001
ALIVE,2001-4523,K:LCD-2001-4523*1,Stelis megachlamys,Stelis megachlamys,Stelis,Orchidaceae,,,,30-03-2023,TropicalNursery_Simplified.xlsx,2001
ALIVE,2004-3142,K:LCD-2004-3142*1,Pterocactus tuberosus,Pterocactus tuberosus,Pterocactus,Cactaceae,,,,17-11-2017,TropicalNursery_Simplified.xlsx,2004
ALIVE,1988-2468,K:LCD-1988-2468*1,Aloe vaombe,Aloe vaombe,Aloe,Asphodelaceae,,N - Natural Source and Progeny,Madagascar,06-01-2022,TropicalNursery_Simplified.xlsx,1988
ALIVE,1980-1639,K:LCD-1980-1639*1,Monstera dubia,Monstera dubia,Monstera,Araceae,,N - Natural Source and Progeny,Trinidad and Tobago,19-03-2024,TropicalNursery_Simplified.xlsx,1980
ALIVE,2005-1854,K:LCD-2005-1854*1,Cynanchum perrieri,Cynanchum perrieri,Cynanchum,Apocynaceae,,,,13-02-2024,TropicalNursery_Simplified.xlsx,2005
ALIVE,1977-6734,K:LCD-1977-6734*1,Aloe amudatensis,Aloe amudatensis,Aloe,Asphodelaceae,,N - Natural Source and Progeny,Kenya,24-08-2022,TropicalNursery_Simplified.xlsx,1977
ALIVE,2004-207,K:LCD-2004-207*1,Cephalocereus senilis,Cephalocereus senilis,Cephalocereus,Cactaceae,,,,10-12-2024,TropicalNursery_Simplified.xlsx,2004
ALIVE,2001-3859,K:LCD-2001-3859*1,Aylostera pulvinosa,Rebutia pulvinosa,Rebutia,Cactaceae,,,,17-10-2023,TropicalNursery_Simplified.xlsx,2001
ALIVE,1979-2481,K:LCD-1979-2481*1,Anthurium harrisii,Anthurium harrisii,Anthurium,Araceae,,N - Natural Source and Progeny,Brazil,07-02-2024,TropicalNursery_Simplified.xlsx,1979
